,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
92,j30,10,2,"[0, 2, 6, 5, 4, 7, 5, 5, 8, 2, 4, 5, 2, 2, 7, 5, 5, 3, 2, 3, 5, 1, 3, 5, 3, 1, 4, 5, 6, 2, 2, 0]",10,0.00999999,Infeasible,,
93,j30,10,3,"[0, 2, 7, 2, 4, 7, 6, 7, 9, 2, 7, 4, 2, 1, 6, 6, 8, 2, 6, 4, 3, 1, 1, 4, 2, 2, 4, 9, 7, 2, 1, 0]",10,0.0,Infeasible,,
94,j30,10,4,"[0, 3, 8, 2, 4, 7, 5, 7, 7, 1, 6, 7, 2, 1, 7, 6, 6, 3, 2, 4, 5, 1, 3, 4, 4, 1, 4, 6, 8, 1, 1, 0]",10,0.0,Infeasible,,
95,j30,10,5,"[0, 1, 5, 4, 5, 7, 6, 3, 11, 1, 5, 4, 2, 2, 4, 3, 8, 1, 5, 3, 6, 1, 1, 5, 3, 3, 5, 9, 11, 1, 2, 0]",10,0.0,Infeasible,,
96,j30,10,6,"[0, 1, 7, 3, 5, 3, 4, 7, 8, 2, 7, 8, 1, 1, 3, 5, 7, 2, 3, 5, 7, 1, 1, 4, 2, 2, 2, 7, 10, 3, 1, 0]",10,0.0,Infeasible,,
97,j30,10,7,"[0, 1, 7, 2, 4, 7, 6, 4, 6, 1, 7, 4, 2, 1, 7, 6, 7, 3, 5, 6, 6, 1, 3, 5, 5, 2, 5, 9, 9, 3, 1, 0]",10,0.0,Infeasible,,
98,j30,10,8,"[0, 1, 4, 5, 7, 3, 7, 4, 6, 3, 6, 6, 1, 1, 4, 6, 4, 1, 6, 4, 6, 1, 2, 2, 3, 3, 3, 6, 12, 1, 1, 0]",10,0.0,Infeasible,,
99,j30,10,9,"[0, 3, 8, 3, 4, 3, 7, 4, 6, 1, 7, 6, 2, 1, 7, 5, 4, 1, 2, 7, 4, 1, 2, 2, 3, 3, 3, 7, 12, 2, 1, 0]",10,0.0,Infeasible,,
100,j30,11,0,"[0, 6, 9, 6, 3, 9, 5, 2, 1, 1, 4, 9, 1, 8, 12, 7, 1, 3, 7, 1, 6, 1, 5, 9, 1, 3, 2, 2, 1, 3, 7, 0]",10,0.00999999,Optimal,0.0,63.0
101,j30,11,1,"[0, 4, 6, 12, 2, 12, 6, 3, 1, 1, 4, 6, 1, 4, 10, 7, 1, 1, 3, 2, 7, 3, 3, 5, 1, 3, 5, 2, 1, 2, 4, 0]",10,0.00999999,Optimal,0.0,62.0
