instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j30,13,STNU_robust,60,True,True,76.0,True,"[0, 5, 2, 9, 10, 5, 8, 5, 1, 3, 9, 1, 5, 1, 4, 6, 1, 3, 5, 8, 1, 7, 1, 3, 2, 4, 7, 9, 8, 2, 3, 0]","[0, 0, 8, 29, 5, 0, 0, 16, 18, 21, 58, 43, 20, 61, 50, 55, 36, 62, 54, 63, 54, 67, 44, 55, 27, 39, 67, 21, 29, 14, 38, 76]",2.0720503330230713,0.06008291244506836,robust,53.0
j30,13,STNU_robust,60,True,True,80.0,True,"[0, 8, 1, 6, 6, 5, 6, 6, 1, 5, 9, 1, 8, 1, 4, 6, 1, 5, 5, 7, 1, 6, 1, 5, 2, 2, 11, 11, 8, 2, 4, 0]","[0, 0, 8, 29, 5, 0, 0, 16, 18, 21, 60, 41, 20, 63, 50, 55, 36, 64, 54, 65, 54, 69, 42, 55, 27, 39, 69, 21, 29, 14, 37, 78]",2.0720503330230713,0.06491327285766602,robust,53.0
j30,13,STNU_robust,60,True,True,81.0,True,"[0, 9, 2, 11, 9, 3, 7, 9, 1, 5, 10, 1, 8, 1, 6, 7, 1, 2, 4, 6, 1, 7, 1, 6, 3, 5, 7, 6, 6, 1, 6, 0]","[0, 0, 9, 29, 3, 0, 0, 16, 18, 21, 62, 44, 20, 65, 50, 56, 36, 66, 56, 67, 55, 72, 45, 56, 27, 39, 72, 21, 30, 15, 40, 81]",2.0720503330230713,0.06038498878479004,robust,59.0
j30,13,STNU_robust,60,True,True,80.0,True,"[0, 5, 1, 7, 12, 7, 5, 5, 1, 4, 9, 1, 5, 1, 4, 10, 1, 5, 4, 8, 1, 5, 1, 3, 4, 4, 8, 6, 5, 1, 6, 0]","[0, 0, 7, 29, 7, 0, 0, 16, 18, 21, 58, 43, 20, 65, 50, 55, 36, 66, 54, 67, 54, 71, 44, 55, 27, 39, 71, 21, 31, 13, 36, 80]",2.0720503330230713,0.05907702445983887,robust,56.0
j30,13,STNU_robust,60,True,True,79.0,True,"[0, 5, 1, 11, 11, 4, 6, 6, 1, 3, 10, 1, 6, 1, 2, 11, 1, 3, 3, 6, 1, 6, 1, 5, 3, 3, 11, 10, 8, 2, 2, 0]","[0, 0, 6, 29, 4, 0, 0, 16, 18, 21, 58, 42, 20, 64, 50, 53, 36, 65, 52, 66, 52, 68, 43, 53, 27, 39, 68, 21, 30, 12, 40, 77]",2.0720503330230713,0.06418800354003906,robust,58.0
j30,13,STNU_robust,60,True,True,80.0,True,"[0, 8, 2, 6, 9, 4, 6, 9, 1, 3, 6, 1, 4, 1, 5, 7, 2, 5, 3, 6, 1, 5, 1, 6, 4, 3, 9, 10, 6, 1, 2, 0]","[0, 0, 8, 29, 4, 0, 0, 16, 18, 21, 62, 42, 20, 65, 50, 56, 36, 66, 55, 67, 55, 71, 43, 56, 27, 39, 71, 21, 31, 14, 37, 80]",2.0720503330230713,0.06100797653198242,robust,54.0
j30,13,STNU_robust,60,True,True,77.0,True,"[0, 8, 2, 11, 11, 4, 6, 9, 1, 5, 6, 1, 4, 1, 6, 8, 2, 2, 4, 8, 1, 5, 1, 5, 2, 2, 10, 11, 6, 2, 3, 0]","[0, 0, 8, 29, 4, 0, 0, 16, 18, 21, 61, 41, 20, 64, 50, 56, 36, 65, 56, 66, 55, 67, 42, 56, 27, 39, 67, 21, 29, 14, 40, 76]",2.0720503330230713,0.06850004196166992,robust,57.0
j30,13,STNU_robust,60,True,True,81.0,True,"[0, 5, 1, 9, 6, 4, 6, 9, 1, 2, 9, 1, 7, 1, 5, 9, 1, 5, 4, 9, 1, 9, 1, 5, 4, 2, 10, 6, 7, 2, 2, 0]","[0, 0, 6, 29, 4, 0, 0, 16, 18, 21, 61, 41, 20, 65, 50, 56, 36, 66, 55, 67, 55, 71, 42, 56, 27, 39, 71, 21, 31, 12, 38, 80]",2.0720503330230713,0.07222509384155273,robust,61.0
j30,14,STNU_robust,60,True,True,69.0,True,"[0, 1, 2, 1, 1, 7, 6, 1, 5, 6, 1, 7, 9, 2, 8, 5, 3, 10, 11, 8, 10, 9, 1, 8, 1, 2, 2, 3, 6, 10, 3, 0]","[0, 8, 1, 0, 3, 21, 36, 0, 0, 1, 0, 5, 9, 1, 28, 3, 18, 18, 21, 43, 36, 12, 53, 18, 10, 42, 8, 48, 62, 21, 54, 69]",0.6424360275268555,0.05574989318847656,robust,69.0
j30,14,STNU_robust,60,True,True,69.0,True,"[0, 1, 2, 3, 1, 11, 4, 1, 6, 11, 1, 12, 6, 2, 4, 8, 2, 6, 6, 11, 9, 8, 1, 5, 1, 4, 3, 2, 5, 7, 5, 0]","[0, 11, 3, 0, 5, 23, 34, 0, 0, 3, 0, 6, 12, 3, 24, 3, 18, 18, 23, 43, 34, 15, 53, 18, 13, 38, 11, 46, 62, 23, 54, 69]",0.6424360275268555,0.05619192123413086,robust,69.0
