,instance_folder,instance_id,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
378,j20,38,8,"[0, 2, 5, 8, 10, 5, 12, 3, 6, 1, 7, 8, 8, 3, 2, 1, 3, 11, 1, 3, 2, 0]",10,0.0,84.0,2.08,Optimal
379,j20,38,9,"[0, 5, 5, 7, 12, 9, 10, 5, 4, 1, 9, 4, 9, 4, 3, 2, 3, 10, 1, 3, 2, 0]",10,0.0,92.0,2.24,Optimal
380,j20,39,0,"[0, 5, 2, 4, 5, 7, 2, 11, 3, 1, 1, 3, 1, 6, 6, 7, 1, 6, 3, 4, 9, 0]",10,,,0.0,Infeasible
381,j20,39,1,"[0, 5, 2, 6, 2, 11, 1, 8, 7, 2, 1, 3, 2, 2, 6, 6, 1, 3, 2, 2, 9, 0]",10,,,0.0,Infeasible
382,j20,39,2,"[0, 3, 2, 4, 3, 9, 2, 8, 4, 1, 1, 5, 1, 3, 6, 8, 1, 6, 1, 3, 8, 0]",10,0.0,64.0,0.31,Optimal
383,j20,39,3,"[0, 6, 4, 8, 2, 11, 2, 7, 5, 2, 1, 2, 1, 3, 7, 7, 1, 3, 1, 3, 8, 0]",10,0.0,65.0,0.14,Optimal
384,j20,39,4,"[0, 6, 5, 5, 5, 6, 1, 8, 5, 2, 1, 3, 2, 5, 9, 7, 1, 2, 1, 3, 6, 0]",10,0.0,64.0,0.0900002,Optimal
385,j20,39,5,"[0, 5, 2, 4, 3, 11, 1, 10, 5, 1, 1, 5, 2, 5, 5, 8, 1, 6, 1, 6, 9, 0]",10,0.0,73.0,0.36,Optimal
386,j20,39,6,"[0, 3, 2, 8, 4, 6, 2, 8, 7, 2, 1, 3, 1, 4, 9, 9, 1, 2, 1, 3, 9, 0]",10,,,0.0,Infeasible
387,j20,39,7,"[0, 3, 2, 6, 5, 7, 1, 10, 7, 2, 1, 4, 1, 2, 6, 7, 1, 4, 1, 3, 7, 0]",10,,,0.0,Infeasible
388,j20,39,8,"[0, 6, 4, 4, 4, 11, 2, 7, 5, 2, 1, 6, 1, 2, 5, 6, 1, 2, 2, 5, 6, 0]",10,0.0,60.0,0.12,Optimal
389,j20,39,9,"[0, 3, 4, 8, 2, 9, 1, 11, 3, 2, 1, 2, 2, 3, 7, 9, 1, 2, 2, 2, 8, 0]",10,,,0.00999999,Infeasible
390,j20,40,0,"[0, 11, 7, 7, 6, 3, 2, 1, 6, 5, 2, 11, 10, 7, 8, 1, 1, 1, 1, 4, 11, 0]",10,0.0,87.0,0.0899999,Optimal
391,j20,40,1,"[0, 8, 8, 6, 10, 4, 1, 2, 12, 6, 2, 7, 7, 6, 12, 1, 1, 1, 2, 3, 7, 0]",10,0.0,86.0,0.0599999,Optimal
