,instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,solver_calls,feasibility,feasibility_pi,real_durations,start_times
73,j10,8,100.0,inf,41.0,reactive,60,10,4,False,True,"[0, 9, 12, 2, 7, 4, 3, 2, 2, 1, 3, 0]","[0, 7, 0, 0, 16, 27, 25, 33, 23, 23, 14, 36]"
74,j10,8,100.0,inf,39.0,reactive,60,10,6,False,True,"[0, 10, 9, 4, 9, 6, 3, 1, 1, 1, 1, 0]","[0, 12, 0, 4, 21, 27, 28, 38, 28, 32, 19, 41]"
75,j10,8,100.0,inf,41.0,reactive,60,10,4,False,True,"[0, 7, 11, 2, 11, 3, 1, 1, 1, 1, 2, 0]","[0, 9, 0, 2, 19, 27, 26, 36, 26, 33, 32, 39]"
76,j10,8,100.0,inf,35.0,reactive,60,10,12,False,True,"[0, 6, 6, 3, 6, 4, 3, 3, 1, 1, 3, 0]","[0, 11, 0, 4, 21, 27, 28, 38, 28, 33, 32, 41]"
77,j10,8,100.0,inf,37.0,reactive,60,10,6,False,True,"[0, 11, 6, 3, 11, 3, 3, 3, 2, 1, 2, 0]","[0, 6, 0, 0, 15, 27, 25, 32, 21, 23, 12, 35]"
78,j10,8,100.0,inf,35.0,reactive,60,10,8,False,True,"[0, 6, 6, 3, 7, 6, 2, 1, 2, 1, 2, 0]","[0, 6, 0, 0, 17, 27, 25, 34, 23, 31, 23, 37]"
79,j10,8,100.0,inf,40.0,reactive,60,10,4,False,True,"[0, 8, 11, 5, 6, 5, 3, 1, 1, 1, 3, 0]","[0, 6, 0, 0, 15, 27, 25, 32, 22, 23, 12, 35]"
80,j10,9,100.0,inf,46.0,reactive,60,10,5,False,True,"[0, 3, 6, 2, 10, 8, 4, 9, 6, 3, 2, 0]","[0, 2, 10, 0, 2, 11, 19, 27, 35, 29, 25, 45]"
81,j10,9,12.195121951219512,46.0,41.0,reactive,60,10,12,True,True,"[0, 4, 6, 1, 10, 6, 7, 5, 8, 6, 4, 0]","[0, 0, 5, 18, 0, 10, 40, 22, 30, 24, 20, 46]"
82,j10,9,100.0,inf,41.0,reactive,60,10,5,False,True,"[0, 3, 12, 2, 9, 6, 4, 7, 11, 3, 5, 0]","[0, 6, 0, 10, 11, 0, 35, 29, 21, 29, 13, 41]"
83,j10,9,100.0,inf,43.0,reactive,60,10,3,False,True,"[0, 6, 10, 1, 8, 9, 3, 5, 12, 6, 2, 0]","[0, 6, 0, 9, 11, 0, 35, 29, 21, 29, 13, 41]"
84,j10,9,100.0,inf,41.0,reactive,60,10,6,False,True,"[0, 6, 9, 2, 7, 5, 6, 6, 8, 6, 4, 0]","[0, 9, 0, 12, 14, 0, 37, 32, 24, 18, 14, 43]"
85,j10,9,100.0,inf,40.0,reactive,60,10,10,False,True,"[0, 5, 7, 1, 10, 5, 4, 6, 12, 6, 3, 0]","[0, 11, 2, 0, 7, 2, 35, 22, 27, 21, 17, 41]"
86,j10,9,100.0,inf,42.0,reactive,60,10,3,False,True,"[0, 6, 10, 1, 11, 7, 5, 7, 9, 7, 3, 0]","[0, 9, 2, 15, 5, 0, 34, 20, 26, 20, 17, 40]"
87,j10,9,100.0,inf,42.0,reactive,60,10,4,False,True,"[0, 5, 7, 2, 7, 9, 4, 8, 6, 7, 2, 0]","[0, 8, 0, 7, 8, 0, 36, 30, 22, 16, 13, 42]"
88,j10,9,100.0,inf,42.0,reactive,60,10,3,False,True,"[0, 6, 12, 2, 8, 5, 5, 9, 10, 4, 2, 0]","[0, 0, 5, 17, 0, 10, 36, 22, 28, 22, 19, 42]"
89,j10,9,100.0,inf,40.0,reactive,60,10,5,False,True,"[0, 3, 10, 2, 9, 5, 5, 6, 7, 4, 4, 0]","[0, 11, 4, 17, 7, 0, 36, 22, 28, 22, 19, 42]"
90,j10,10,29.62962962962963,35.0,27.0,reactive,60,10,12,True,True,"[0, 4, 1, 1, 2, 8, 2, 3, 4, 1, 4, 0]","[0, 0, 8, 6, 22, 18, 29, 18, 11, 26, 31, 35]"
91,j10,10,100.0,inf,27.0,reactive,60,10,5,False,True,"[0, 5, 3, 1, 5, 11, 3, 2, 8, 3, 5, 0]","[0, 0, 8, 6, 9, 9, 17, 11, 19, 7, 23, 27]"
92,j10,10,100.0,inf,29.0,reactive,60,10,5,False,True,"[0, 5, 3, 1, 3, 6, 3, 3, 4, 3, 4, 0]","[0, 0, 8, 6, 9, 9, 17, 14, 19, 11, 23, 27]"
93,j10,10,100.0,inf,30.0,reactive,60,10,6,False,True,"[0, 4, 1, 1, 5, 7, 2, 3, 5, 3, 5, 0]","[0, 0, 8, 6, 11, 11, 19, 16, 21, 13, 25, 29]"
94,j10,10,100.0,inf,31.0,reactive,60,10,5,False,True,"[0, 4, 2, 1, 3, 8, 2, 3, 6, 3, 2, 0]","[0, 0, 8, 6, 9, 9, 17, 23, 19, 14, 26, 30]"
95,j10,10,100.0,inf,31.0,reactive,60,10,10,False,True,"[0, 5, 2, 1, 2, 11, 2, 3, 4, 3, 5, 0]","[0, 0, 8, 6, 10, 10, 18, 24, 20, 15, 27, 31]"
96,j10,10,100.0,inf,30.0,reactive,60,10,6,False,True,"[0, 3, 1, 1, 4, 7, 1, 4, 5, 3, 2, 0]","[0, 0, 8, 6, 10, 10, 21, 15, 23, 12, 27, 31]"
97,j10,10,100.0,inf,30.0,reactive,60,10,6,False,True,"[0, 6, 1, 1, 5, 11, 1, 4, 5, 1, 3, 0]","[0, 0, 8, 6, 9, 9, 20, 16, 22, 13, 26, 30]"
98,j10,10,100.0,inf,30.0,reactive,60,10,10,False,True,"[0, 4, 1, 1, 3, 8, 3, 3, 6, 3, 3, 0]","[0, 0, 8, 6, 9, 9, 20, 17, 22, 14, 26, 30]"
99,j10,10,100.0,inf,31.0,reactive,60,10,5,False,True,"[0, 5, 2, 1, 3, 8, 2, 4, 8, 2, 4, 0]","[0, 0, 8, 6, 9, 9, 24, 12, 18, 15, 26, 30]"
