instance_id,method,real_durations,rel_regret
21,proactive,"[0, 5, 8, 10, 5, 5, 4, 3, 6, 6, 6, 11, 10, 8, 7, 2, 3, 5, 9, 2, 5, 5, 7, 3, 1, 6, 8, 9, 8, 2, 2, 0]",12.5
21,proactive,"[0, 5, 9, 6, 9, 3, 2, 4, 9, 7, 7, 8, 9, 6, 6, 2, 5, 6, 12, 2, 3, 7, 6, 2, 1, 6, 8, 6, 8, 3, 3, 0]",12.5
22,proactive,"[0, 1, 2, 1, 8, 3, 2, 5, 1, 10, 10, 1, 1, 8, 10, 2, 1, 3, 10, 6, 1, 10, 5, 2, 9, 4, 1, 7, 4, 7, 5, 0]",0.0
22,proactive,"[0, 1, 4, 3, 7, 3, 2, 6, 1, 7, 6, 1, 2, 7, 8, 2, 1, 5, 11, 6, 2, 8, 5, 1, 9, 5, 1, 10, 3, 5, 5, 0]",0.0
22,proactive,"[0, 2, 2, 2, 5, 1, 6, 7, 1, 7, 9, 1, 2, 11, 10, 3, 1, 3, 8, 5, 2, 6, 4, 2, 11, 6, 3, 7, 2, 7, 2, 0]",0.0
22,proactive,"[0, 2, 5, 3, 6, 2, 4, 5, 2, 7, 8, 1, 2, 10, 11, 3, 1, 3, 8, 7, 2, 7, 3, 2, 7, 4, 3, 9, 3, 8, 3, 0]",0.0
22,proactive,"[0, 2, 6, 2, 5, 1, 4, 7, 1, 10, 8, 1, 1, 10, 9, 1, 1, 5, 6, 7, 1, 6, 3, 2, 8, 3, 1, 10, 5, 8, 5, 0]",0.0
22,proactive,"[0, 3, 4, 1, 8, 3, 2, 5, 2, 6, 6, 1, 2, 7, 11, 2, 1, 5, 9, 5, 2, 9, 3, 3, 9, 7, 1, 10, 2, 8, 4, 0]",0.0
22,proactive,"[0, 3, 4, 3, 6, 1, 3, 5, 1, 9, 7, 1, 1, 7, 9, 1, 1, 3, 8, 4, 1, 11, 2, 3, 6, 4, 3, 7, 4, 7, 4, 0]",0.0
22,proactive,"[0, 3, 5, 2, 8, 3, 3, 9, 3, 10, 11, 1, 1, 6, 9, 1, 1, 3, 10, 4, 1, 10, 2, 1, 11, 4, 1, 6, 4, 4, 2, 0]",0.0
22,proactive,"[0, 3, 5, 3, 7, 1, 6, 7, 1, 11, 9, 1, 2, 7, 11, 2, 1, 4, 7, 3, 1, 10, 4, 2, 6, 3, 3, 11, 5, 8, 2, 0]",0.0
22,reactive,"[0, 3, 2, 1, 4, 2, 2, 8, 1, 8, 8, 1, 2, 9, 11, 3, 1, 7, 9, 7, 1, 8, 2, 2, 8, 3, 3, 9, 4, 6, 3, 0]",0.0
22,reactive,"[0, 3, 2, 3, 6, 3, 4, 8, 2, 8, 11, 1, 2, 9, 10, 3, 1, 3, 8, 5, 2, 9, 2, 3, 11, 6, 2, 11, 4, 4, 3, 0]",0.0
