,seed,makespan,lateness,nr_unfinished_products
761,68707,923.0,179.0,0
762,90979,932.0,189.0,0
763,39101,915.0,171.0,0
764,24567,936.0,197.0,0
765,15477,943.0,211.0,0
766,54501,923.0,179.0,0
767,21067,937.0,199.0,0
768,99151,947.0,219.0,0
769,12853,925.0,181.0,0
770,12359,928.0,184.0,0
771,29505,931.0,187.0,0
772,93203,924.0,180.0,0
773,30090,918.0,174.0,0
774,71769,934.0,193.0,0
775,71477,930.0,186.0,0
776,85745,930.0,186.0,0
777,8315,921.0,177.0,0
778,46869,926.0,182.0,0
779,76126,933.0,191.0,0
780,53146,933.0,191.0,0
781,78825,924.0,180.0,0
782,13081,929.0,185.0,0
783,10359,935.0,195.0,0
784,96749,943.0,211.0,0
785,56254,935.0,195.0,0
786,15739,931.0,187.0,0
787,66137,930.0,186.0,0
788,21407,928.0,184.0,0
789,44570,921.0,177.0,0
790,27199,937.0,199.0,0
791,50714,918.0,174.0,0
792,63785,937.0,199.0,0
793,4879,936.0,197.0,0
794,23725,945.0,215.0,0
795,52432,926.0,182.0,0
796,64627,927.0,183.0,0
797,26108,929.0,185.0,0
798,40308,951.0,227.0,0
799,24546,921.0,177.0,0
800,84515,917.0,173.0,0
801,89811,916.0,172.0,0
802,92716,923.0,179.0,0
803,40122,924.0,180.0,0
804,50005,929.0,185.0,0
805,86712,938.0,201.0,0
806,22900,935.0,195.0,0
807,63217,921.0,177.0,0
808,33917,929.0,185.0,0
809,48097,947.0,219.0,0
810,4011,922.0,178.0,0
811,90574,935.0,195.0,0
812,13664,942.0,209.0,0
813,45544,937.0,199.0,0
814,75122,939.0,203.0,0
815,52821,937.0,199.0,0
816,67325,926.0,182.0,0
817,679,937.0,199.0,0
818,37438,925.0,181.0,0
819,29986,946.0,217.0,0
820,81378,912.0,168.0,0
821,56771,936.0,197.0,0
822,69511,935.0,195.0,0
823,81845,915.0,171.0,0
824,28810,929.0,185.0,0
825,474,931.0,187.0,0
826,53522,933.0,191.0,0
827,21957,920.0,176.0,0
828,82708,927.0,183.0,0
829,55373,918.0,174.0,0
830,85219,928.0,184.0,0
831,44821,923.0,179.0,0
832,61388,916.0,172.0,0
833,6458,924.0,180.0,0
834,43171,922.0,178.0,0
835,91317,917.0,173.0,0
836,97696,935.0,195.0,0
837,48221,925.0,181.0,0
838,54855,923.0,179.0,0
839,47406,930.0,186.0,0
840,80437,933.0,191.0,0
841,53108,917.0,173.0,0
842,28467,918.0,174.0,0
843,2195,928.0,184.0,0
844,54621,937.0,199.0,0
845,37735,937.0,199.0,0
846,82258,921.0,177.0,0
847,78323,939.0,203.0,0
848,39334,912.0,168.0,0
849,12629,921.0,177.0,0
850,34258,923.0,179.0,0
851,4314,934.0,193.0,0
852,5554,912.0,168.0,0
853,95111,931.0,187.0,0
854,70995,920.0,176.0,0
855,71279,922.0,178.0,0
856,69750,934.0,193.0,0
857,49655,922.0,178.0,0
858,84042,922.0,178.0,0
859,68404,924.0,180.0,0
860,26577,932.0,189.0,0
861,81707,936.0,197.0,0
862,7964,922.0,178.0,0
863,97931,928.0,184.0,0
864,20963,944.0,213.0,0
865,98011,936.0,197.0,0
866,8630,947.0,219.0,0
867,86158,932.0,189.0,0
868,79919,927.0,183.0,0
869,99229,930.0,186.0,0
870,40082,921.0,177.0,0
871,7922,922.0,178.0,0
872,34337,927.0,183.0,0
873,8201,931.0,187.0,0
874,15396,925.0,181.0,0
875,68380,925.0,181.0,0
876,4495,927.0,183.0,0
877,27069,928.0,184.0,0
878,44897,932.0,189.0,0
879,59998,952.0,229.0,0
880,5967,914.0,170.0,0
881,70301,956.0,237.0,0
882,79028,928.0,184.0,0
883,75474,955.0,235.0,0
884,56677,927.0,183.0,0
885,9766,916.0,172.0,0
886,18719,929.0,185.0,0
887,50705,929.0,185.0,0
888,81105,942.0,209.0,0
889,89164,921.0,177.0,0
890,5376,916.0,172.0,0
891,56438,932.0,189.0,0
892,97379,916.0,172.0,0
893,16728,932.0,189.0,0
894,63923,922.0,178.0,0
895,52413,933.0,191.0,0
896,99464,919.0,175.0,0
897,94891,931.0,187.0,0
898,1211,927.0,183.0,0
899,84503,921.0,177.0,0
900,33404,915.0,171.0,0
901,7410,919.0,175.0,0
902,7837,931.0,187.0,0
903,87320,925.0,181.0,0
904,75113,933.0,191.0,0
905,69315,924.0,180.0,0
906,36874,909.0,165.0,0
907,67104,925.0,181.0,0
908,92637,941.0,207.0,0
909,20722,933.0,191.0,0
910,61105,939.0,203.0,0
911,67421,931.0,187.0,0
912,82587,923.0,179.0,0
913,12882,950.0,225.0,0
914,89091,938.0,201.0,0
915,15603,932.0,189.0,0
916,66661,939.0,203.0,0
917,97160,932.0,189.0,0
918,19123,916.0,172.0,0
919,26749,937.0,199.0,0
920,70940,925.0,181.0,0
921,85869,922.0,178.0,0
