,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
164,20_4_factory_1,3.0,835.0,0.0,902.0,67.0,0.08023952095808383,2,feasible_and_dc
165,20_4_factory_1,4.0,817.0,0.0,892.0,75.0,0.09179926560587515,2,feasible_and_dc
166,20_4_factory_1,5.0,851.0,0.0,917.0,66.0,0.07755581668625147,2,feasible_and_dc
167,20_4_factory_1,6.0,825.0,0.0,901.0,76.0,0.09212121212121212,2,feasible_and_dc
168,20_4_factory_1,7.0,837.0,0.0,907.0,70.0,0.08363201911589008,2,feasible_and_dc
169,20_4_factory_1,8.0,811.0,0.0,896.0,85.0,0.10480887792848335,2,feasible_and_dc
170,20_4_factory_1,9.0,836.0,0.0,901.0,65.0,0.07775119617224881,2,feasible_and_dc
171,20_5_factory_1,0.0,1051.0,0.0,1051.0,0.0,0.0,1,feasible_and_dc
172,20_5_factory_1,1.0,1023.0,0.0,1023.0,0.0,0.0,1,feasible_and_dc
173,20_5_factory_1,2.0,1009.0,0.0,1009.0,0.0,0.0,1,feasible_and_dc
174,20_5_factory_1,3.0,1003.0,0.0,1003.0,0.0,0.0,1,feasible_and_dc
175,20_5_factory_1,4.0,1036.0,0.0,1043.0,7.0,0.006756756756756757,1,feasible_and_dc
176,20_5_factory_1,5.0,1002.0,0.0,1002.0,0.0,0.0,1,feasible_and_dc
177,20_5_factory_1,6.0,1032.0,0.0,1034.0,2.0,0.001937984496124031,1,feasible_and_dc
178,20_5_factory_1,7.0,1015.0,0.0,1015.0,0.0,0.0,1,feasible_and_dc
179,20_5_factory_1,8.0,1038.0,0.0,1051.0,13.0,0.012524084778420038,1,feasible_and_dc
180,20_5_factory_1,9.0,1016.0,0.0,1016.0,0.0,0.0,1,feasible_and_dc
181,20_5_factory_1,0.0,1013.0,0.0,1049.0,36.0,0.035538005923000986,2,feasible_and_dc
182,20_5_factory_1,1.0,1001.0,0.0,1077.0,76.0,0.07592407592407592,2,feasible_and_dc
183,20_5_factory_1,2.0,1046.0,0.0,1097.0,51.0,0.04875717017208413,2,feasible_and_dc
184,20_5_factory_1,3.0,1025.0,0.0,1063.0,38.0,0.037073170731707315,2,feasible_and_dc
185,20_5_factory_1,4.0,1038.0,0.0,1080.0,42.0,0.04046242774566474,2,feasible_and_dc
186,20_5_factory_1,5.0,1042.0,0.0,1073.0,31.0,0.029750479846449136,2,feasible_and_dc
187,20_5_factory_1,6.0,1020.0,0.0,1071.0,51.0,0.05,2,feasible_and_dc
188,20_5_factory_1,7.0,1049.0,0.0,1078.0,29.0,0.027645376549094377,2,feasible_and_dc
189,20_5_factory_1,8.0,1000.0,0.0,1059.0,59.0,0.059,2,feasible_and_dc
190,20_5_factory_1,9.0,1064.0,0.0,1086.0,22.0,0.020676691729323307,2,feasible_and_dc
191,40_1_factory_1,0.0,2341.0,0.0,2341.0,0.0,0.0,1,feasible_and_dc
192,40_1_factory_1,1.0,2292.0,0.0,2293.0,1.0,0.0004363001745200698,1,feasible_and_dc
193,40_1_factory_1,2.0,2302.0,0.0,2302.0,0.0,0.0,1,feasible_and_dc
194,40_1_factory_1,3.0,2364.0,0.0,2364.0,0.0,0.0,1,feasible_and_dc
195,40_1_factory_1,4.0,2305.0,0.0,2316.0,11.0,0.004772234273318872,1,feasible_and_dc
196,40_1_factory_1,5.0,2284.0,0.0,2305.0,21.0,0.009194395796847636,1,feasible_and_dc
197,40_1_factory_1,6.0,2244.0,0.0,2244.0,0.0,0.0,1,feasible_and_dc
198,40_1_factory_1,7.0,2291.0,0.0,2291.0,0.0,0.0,1,feasible_and_dc
199,40_1_factory_1,8.0,2317.0,0.0,2317.0,0.0,0.0,1,feasible_and_dc
200,40_1_factory_1,9.0,2274.0,0.0,2274.0,0.0,0.0,1,feasible_and_dc
201,40_1_factory_1,,,,,,,2,infeasible
202,40_2_factory_1,0.0,1801.0,0.0,1801.0,0.0,0.0,1,feasible_and_dc
203,40_2_factory_1,1.0,1816.0,0.0,1816.0,0.0,0.0,1,feasible_and_dc
204,40_2_factory_1,2.0,1795.0,0.0,1795.0,0.0,0.0,1,feasible_and_dc
205,40_2_factory_1,3.0,1792.0,0.0,1792.0,0.0,0.0,1,feasible_and_dc
206,40_2_factory_1,4.0,1778.0,0.0,1778.0,0.0,0.0,1,feasible_and_dc
207,40_2_factory_1,5.0,1824.0,0.0,1824.0,0.0,0.0,1,feasible_and_dc
208,40_2_factory_1,6.0,1805.0,0.0,1829.0,24.0,0.013296398891966758,1,feasible_and_dc
209,40_2_factory_1,7.0,1789.0,0.0,1801.0,12.0,0.006707657909446618,1,feasible_and_dc
210,40_2_factory_1,8.0,1795.0,0.0,1802.0,7.0,0.0038997214484679664,1,feasible_and_dc
