instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_101,STNU,1,inf,59.0,100.0
j10_101,STNU,2,inf,60.0,100.0
j10_101,STNU,3,inf,60.0,100.0
j10_101,STNU,4,inf,inf,0.0
j10_102,STNU,0,inf,55.0,100.0
j10_102,STNU,1,inf,47.0,100.0
j10_102,STNU,2,inf,55.0,100.0
j10_102,STNU,3,inf,52.0,100.0
j10_102,STNU,4,inf,50.0,100.0
j10_103,STNU,0,19.0,19.0,0.0
j10_103,STNU,1,20.0,18.0,11.11111111111111
j10_103,STNU,2,19.0,18.0,5.555555555555555
j10_103,STNU,3,16.0,15.0,6.666666666666667
j10_103,STNU,4,17.0,15.0,13.333333333333334
j10_104,STNU,0,30.0,30.0,0.0
j10_104,STNU,1,31.0,27.0,14.814814814814815
j10_104,STNU,2,30.0,28.0,7.142857142857143
j10_104,STNU,3,32.0,27.0,18.51851851851852
j10_104,STNU,4,32.0,28.0,14.285714285714286
j10_105,STNU,0,27.0,20.0,35.0
j10_105,STNU,1,25.0,19.0,31.57894736842105
j10_105,STNU,2,26.0,20.0,30.0
j10_105,STNU,3,21.0,19.0,10.526315789473685
j10_105,STNU,4,26.0,20.0,30.0
j10_106,STNU,0,inf,48.0,100.0
j10_106,STNU,1,inf,48.0,100.0
j10_106,STNU,2,inf,47.0,100.0
j10_106,STNU,3,inf,46.0,100.0
j10_106,STNU,4,inf,48.0,100.0
j10_107,STNU,0,46.0,46.0,0.0
j10_107,STNU,1,48.0,48.0,0.0
j10_107,STNU,2,45.0,45.0,0.0
j10_107,STNU,3,48.0,48.0,0.0
j10_107,STNU,4,44.0,44.0,0.0
j10_108,STNU,0,inf,inf,0.0
j10_108,STNU,1,inf,inf,0.0
j10_108,STNU,2,inf,inf,0.0
j10_108,STNU,3,inf,inf,0.0
j10_108,STNU,4,inf,inf,0.0
j10_109,STNU,0,inf,inf,0.0
j10_109,STNU,1,inf,inf,0.0
j10_109,STNU,2,inf,inf,0.0
j10_109,STNU,3,inf,inf,0.0
j10_109,STNU,4,inf,inf,0.0
j10_110,STNU,0,inf,59.0,100.0
j10_110,STNU,1,inf,59.0,100.0
j10_110,STNU,2,inf,58.0,100.0
j10_110,STNU,3,inf,56.0,100.0
j10_110,STNU,4,inf,55.0,100.0
j10_111,STNU,0,35.0,33.0,6.0606060606060606
j10_111,STNU,1,32.0,30.0,6.666666666666667
j10_111,STNU,2,33.0,31.0,6.451612903225806
j10_111,STNU,3,33.0,33.0,0.0
j10_111,STNU,4,32.0,30.0,6.666666666666667
j10_112,STNU,0,inf,inf,0.0
j10_112,STNU,1,inf,inf,0.0
j10_112,STNU,2,inf,inf,0.0
j10_112,STNU,3,inf,inf,0.0
j10_112,STNU,4,inf,inf,0.0
j10_113,STNU,0,inf,22.0,100.0
j10_113,STNU,1,inf,24.0,100.0
j10_113,STNU,2,inf,23.0,100.0
j10_113,STNU,3,inf,23.0,100.0
j10_113,STNU,4,inf,22.0,100.0
j10_114,STNU,0,39.0,39.0,0.0
j10_114,STNU,1,37.0,37.0,0.0
j10_114,STNU,2,37.0,37.0,0.0
j10_114,STNU,3,38.0,37.0,2.7027027027027026
j10_114,STNU,4,36.0,36.0,0.0
j10_115,STNU,0,inf,43.0,100.0
j10_115,STNU,1,inf,43.0,100.0
j10_115,STNU,2,inf,41.0,100.0
j10_115,STNU,3,inf,41.0,100.0
j10_115,STNU,4,inf,41.0,100.0
j10_116,STNU,0,15.0,14.0,7.142857142857143
j10_116,STNU,1,15.0,15.0,0.0
j10_116,STNU,2,15.0,14.0,7.142857142857143
j10_116,STNU,3,15.0,13.0,15.384615384615385
j10_116,STNU,4,16.0,13.0,23.076923076923077
j10_117,STNU,0,27.0,24.0,12.5
j10_117,STNU,1,27.0,25.0,8.0
