,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
332,j30,PSP7,32,0.0,inf,inf,reactive,60,10,60
333,j30,PSP7,33,0.0,inf,inf,reactive,60,10,60
334,j30,PSP7,34,0.0,inf,inf,reactive,60,10,60
335,j30,PSP7,35,0.0,inf,inf,reactive,60,10,60
336,j30,PSP7,36,0.0,inf,inf,reactive,60,10,60
337,j30,PSP7,37,0.0,inf,inf,reactive,60,10,60
338,j30,PSP7,38,0.0,inf,inf,reactive,60,10,60
339,j30,PSP7,39,0.0,inf,inf,reactive,60,10,60
340,j30,PSP7,40,0.0,inf,inf,reactive,60,10,60
341,j30,PSP7,41,0.0,inf,inf,reactive,60,10,60
342,j30,PSP7,42,0.0,inf,inf,reactive,60,10,60
343,j30,PSP7,43,0.0,inf,inf,reactive,60,10,60
344,j30,PSP7,44,0.0,inf,inf,reactive,60,10,60
345,j30,PSP7,45,0.0,inf,inf,reactive,60,10,60
346,j30,PSP7,46,0.0,inf,inf,reactive,60,10,60
347,j30,PSP7,47,0.0,inf,inf,reactive,60,10,60
348,j30,PSP7,48,0.0,inf,inf,reactive,60,10,60
349,j30,PSP7,49,0.0,inf,inf,reactive,60,10,60
