,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
360,j10,PSP8,10,19.51219512195122,49.0,41.0,reactive
361,j10,PSP8,11,17.5,47.0,40.0,reactive
362,j10,PSP8,12,12.195121951219512,46.0,41.0,reactive
363,j10,PSP8,13,17.5,47.0,40.0,reactive
364,j10,PSP8,14,2.7027027027027026,38.0,37.0,reactive
365,j10,PSP8,15,0.0,37.0,37.0,reactive
366,j10,PSP8,16,17.073170731707318,48.0,41.0,reactive
367,j10,PSP8,17,20.0,48.0,40.0,reactive
368,j10,PSP8,18,20.0,48.0,40.0,reactive
369,j10,PSP8,19,100.0,inf,43.0,reactive
370,j10,PSP8,20,0.0,38.0,38.0,reactive
371,j10,PSP8,21,100.0,inf,37.0,reactive
372,j10,PSP8,22,2.5,41.0,40.0,reactive
373,j10,PSP8,23,0.0,38.0,38.0,reactive
374,j10,PSP8,24,20.0,48.0,40.0,reactive
375,j10,PSP8,25,100.0,inf,40.0,reactive
376,j10,PSP8,26,100.0,inf,40.0,reactive
377,j10,PSP8,27,0.0,36.0,36.0,reactive
378,j10,PSP8,28,100.0,inf,37.0,reactive
379,j10,PSP8,29,100.0,inf,38.0,reactive
380,j10,PSP8,30,0.0,36.0,36.0,reactive
381,j10,PSP8,31,100.0,inf,37.0,reactive
382,j10,PSP8,32,12.195121951219512,46.0,41.0,reactive
383,j10,PSP8,33,0.0,37.0,37.0,reactive
384,j10,PSP8,34,2.7027027027027026,38.0,37.0,reactive
385,j10,PSP8,35,0.0,37.0,37.0,reactive
386,j10,PSP8,36,19.51219512195122,49.0,41.0,reactive
387,j10,PSP8,37,100.0,inf,39.0,reactive
388,j10,PSP8,38,100.0,inf,40.0,reactive
389,j10,PSP8,39,0.0,36.0,36.0,reactive
390,j10,PSP8,40,0.0,38.0,38.0,reactive
391,j10,PSP8,41,19.51219512195122,49.0,41.0,reactive
392,j10,PSP8,42,0.0,37.0,37.0,reactive
393,j10,PSP8,43,13.953488372093023,49.0,43.0,reactive
394,j10,PSP8,44,0.0,37.0,37.0,reactive
395,j10,PSP8,45,0.0,38.0,38.0,reactive
396,j10,PSP8,46,13.953488372093023,49.0,43.0,reactive
397,j10,PSP8,47,0.0,39.0,39.0,reactive
398,j10,PSP8,48,0.0,38.0,38.0,reactive
399,j10,PSP8,49,0.0,39.0,39.0,reactive
400,j10,PSP9,0,100.0,inf,43.0,reactive
401,j10,PSP9,1,100.0,inf,45.0,reactive
402,j10,PSP9,2,9.090909090909092,48.0,44.0,reactive
403,j10,PSP9,3,100.0,inf,47.0,reactive
404,j10,PSP9,4,10.416666666666666,53.0,48.0,reactive
405,j10,PSP9,5,10.81081081081081,41.0,37.0,reactive
406,j10,PSP9,6,100.0,inf,45.0,reactive
407,j10,PSP9,7,8.695652173913043,50.0,46.0,reactive
408,j10,PSP9,8,9.30232558139535,47.0,43.0,reactive
409,j10,PSP9,9,6.818181818181818,47.0,44.0,reactive
410,j10,PSP9,10,2.380952380952381,43.0,42.0,reactive
411,j10,PSP9,11,4.878048780487805,43.0,41.0,reactive
412,j10,PSP9,12,6.666666666666667,48.0,45.0,reactive
413,j10,PSP9,13,2.380952380952381,43.0,42.0,reactive
414,j10,PSP9,14,8.88888888888889,49.0,45.0,reactive
415,j10,PSP9,15,2.380952380952381,43.0,42.0,reactive
416,j10,PSP9,16,7.6923076923076925,42.0,39.0,reactive
417,j10,PSP9,17,2.272727272727273,45.0,44.0,reactive
418,j10,PSP9,18,4.25531914893617,49.0,47.0,reactive
419,j10,PSP9,19,9.30232558139535,47.0,43.0,reactive
420,j10,PSP9,20,10.526315789473685,42.0,38.0,reactive
421,j10,PSP9,21,4.761904761904762,44.0,42.0,reactive
422,j10,PSP9,22,4.444444444444445,47.0,45.0,reactive
423,j10,PSP9,23,9.090909090909092,48.0,44.0,reactive
424,j10,PSP9,24,4.878048780487805,43.0,41.0,reactive
425,j10,PSP9,25,10.0,44.0,40.0,reactive
426,j10,PSP9,26,10.638297872340425,52.0,47.0,reactive
427,j10,PSP9,27,0.0,46.0,46.0,reactive
428,j10,PSP9,28,9.523809523809524,46.0,42.0,reactive
429,j10,PSP9,29,2.380952380952381,43.0,42.0,reactive
430,j10,PSP9,30,4.444444444444445,47.0,45.0,reactive
431,j10,PSP9,31,11.904761904761905,47.0,42.0,reactive
432,j10,PSP9,32,2.2222222222222223,46.0,45.0,reactive
433,j10,PSP9,33,10.0,44.0,40.0,reactive
434,j10,PSP9,34,4.761904761904762,44.0,42.0,reactive
435,j10,PSP9,35,6.818181818181818,47.0,44.0,reactive
436,j10,PSP9,36,0.0,45.0,45.0,reactive
437,j10,PSP9,37,2.1739130434782608,47.0,46.0,reactive
438,j10,PSP9,38,9.523809523809524,46.0,42.0,reactive
439,j10,PSP9,39,2.127659574468085,48.0,47.0,reactive
440,j10,PSP9,40,9.75609756097561,45.0,41.0,reactive
441,j10,PSP9,41,4.545454545454546,46.0,44.0,reactive
442,j10,PSP9,42,2.3255813953488373,44.0,43.0,reactive
443,j10,PSP9,43,10.0,44.0,40.0,reactive
444,j10,PSP9,44,11.904761904761905,47.0,42.0,reactive
